WARNING:imageio:Lossy conversion from float64 to uint8. Range [0, 1]. Convert image to uint8 prior to saving to suppress this warning.
INFO:root:Epoch:[2]-[15/52] --> d_loss: 1.052, g_loss:1.623, g_recon_loss:1.623
INFO:root:Epoch:[2]-[16/52] --> d_loss: 2.699, g_loss:0.820, g_recon_loss:0.820
INFO:root:Epoch:[2]-[17/52] --> d_loss: 2.077, g_loss:0.984, g_recon_loss:0.984
INFO:root:Epoch:[2]-[18/52] --> d_loss: 1.583, g_loss:1.107, g_recon_loss:1.107
INFO:root:Epoch:[2]-[19/52] --> d_loss: 1.459, g_loss:1.153, g_recon_loss:1.153
INFO:root:Epoch:[2]-[20/52] --> d_loss: 1.109, g_loss:1.353, g_recon_loss:1.353
INFO:root:Epoch:[2]-[21/52] --> d_loss: 0.999, g_loss:0.722, g_recon_loss:0.722
INFO:root:Epoch:[2]-[22/52] --> d_loss: 1.340, g_loss:0.846, g_recon_loss:0.846
INFO:root:Epoch:[2]-[23/52] --> d_loss: 1.608, g_loss:1.528, g_recon_loss:1.528
INFO:root:Epoch:[2]-[24/52] --> d_loss: 2.127, g_loss:0.899, g_recon_loss:0.899
INFO:root:Epoch:[2]-[25/52] --> d_loss: 2.185, g_loss:1.155, g_recon_loss:1.155
INFO:root:Epoch:[2]-[26/52] --> d_loss: 1.415, g_loss:1.070, g_recon_loss:1.070
INFO:root:Epoch:[2]-[27/52] --> d_loss: 1.115, g_loss:2.308, g_recon_loss:2.308
INFO:root:Epoch:[2]-[28/52] --> d_loss: 1.156, g_loss:0.918, g_recon_loss:0.918
INFO:root:Epoch:[2]-[29/52] --> d_loss: 1.410, g_loss:1.336, g_recon_loss:1.336
INFO:root:Epoch:[2]-[30/52] --> d_loss: 1.509, g_loss:1.225, g_recon_loss:1.225
INFO:root:Epoch:[2]-[31/52] --> d_loss: 1.329, g_loss:1.047, g_recon_loss:1.047
INFO:root:Epoch:[2]-[32/52] --> d_loss: 1.265, g_loss:0.864, g_recon_loss:0.864
INFO:root:Epoch:[2]-[33/52] --> d_loss: 1.532, g_loss:1.436, g_recon_loss:1.436
INFO:root:Epoch:[2]-[34/52] --> d_loss: 1.886, g_loss:1.379, g_recon_loss:1.379
